mean,sd,N,n_qc,1-3s,1-3s/2-2s/R-4s,1-3s/2-2s/R-4s/4-1s,1-3s/2-2s/R-4s/4-1s/10-x
0,2.5000000000000013,4,10000,0.6523,0.8087,0.8184,0.8194
0,2.5000000000000013,6,10000,0.7963,0.9276,0.9358,0.9366
0,2.6000000000000014,1,10000,0.2616,0.3665,0.3764,0.3769
0,2.6000000000000014,2,10000,0.4421,0.5776,0.5941,0.595
0,2.6000000000000014,3,10000,0.5802,0.7186,0.7381,0.739
0,2.6000000000000014,4,10000,0.6871,0.8224,0.8316,0.8331
0,2.6000000000000014,6,10000,0.8247,0.9376,0.944,0.9454
0,2.7000000000000015,1,10000,0.2642,0.3754,0.385,0.3859
0,2.7000000000000015,2,10000,0.4575,0.5895,0.6082,0.6094
0,2.7000000000000015,3,10000,0.6018,0.7349,0.7568,0.7583
0,2.7000000000000015,4,10000,0.7044,0.8347,0.8444,0.8454
0,2.7000000000000015,6,10000,0.847,0.9448,0.9514,0.9518
0,2.8000000000000016,1,10000,0.2858,0.396,0.4076,0.4081
0,2.8000000000000016,2,10000,0.4843,0.6104,0.6289,0.6293
0,2.8000000000000016,3,10000,0.6241,0.7578,0.7773,0.7783
0,2.8000000000000016,4,10000,0.7335,0.8562,0.8657,0.8669
0,2.8000000000000016,6,10000,0.8659,0.9553,0.9606,0.9612
0,2.9000000000000017,1,10000,0.2963,0.4079,0.4155,0.4157
0,2.9000000000000017,2,10000,0.5077,0.6332,0.6466,0.6479
0,2.9000000000000017,3,10000,0.6507,0.7748,0.7902,0.7911
0,2.9000000000000017,4,10000,0.7538,0.8688,0.8746,0.8755
0,2.9000000000000017,6,10000,0.8807,0.9593,0.9639,0.9644
0,3.0000000000000018,1,10000,0.3248,0.4375,0.4485,0.4497
0,3.0000000000000018,2,10000,0.5358,0.6546,0.6707,0.6724
0,3.0000000000000018,3,10000,0.6892,0.7977,0.8134,0.8143
0,3.0000000000000018,4,10000,0.7879,0.8843,0.8905,0.8911
0,3.0000000000000018,6,10000,0.903,0.9671,0.9715,0.9717
0,3.100000000000002,1,10000,0.3324,0.4436,0.4537,0.4542
0,3.100000000000002,2,10000,0.552,0.6611,0.6749,0.6757
0,3.100000000000002,3,10000,0.6989,0.8041,0.8208,0.8221
0,3.100000000000002,4,10000,0.7962,0.8913,0.8991,0.9003
0,3.100000000000002,6,10000,0.9093,0.9707,0.9747,0.9749
0,3.200000000000002,1,10000,0.3444,0.4549,0.4651,0.4654
0,3.200000000000002,2,10000,0.5781,0.6869,0.7013,0.7021
0,3.200000000000002,3,10000,0.7225,0.8218,0.8386,0.8389
0,3.200000000000002,4,10000,0.8229,0.9061,0.9115,0.9124
0,3.200000000000002,6,10000,0.9231,0.9751,0.9784,0.9788
0,3.300000000000002,1,10000,0.3669,0.481,0.4922,0.4928
0,3.300000000000002,2,10000,0.6021,0.7097,0.7233,0.7238
0,3.300000000000002,3,10000,0.7517,0.8432,0.8589,0.8598
0,3.300000000000002,4,10000,0.8418,0.9171,0.922,0.9227
0,3.300000000000002,6,10000,0.937,0.98,0.9823,0.9828
0,3.400000000000002,1,10000,0.3776,0.4815,0.4913,0.4916
0,3.400000000000002,2,10000,0.6075,0.7061,0.72,0.7207
0,3.400000000000002,3,10000,0.7554,0.8463,0.8602,0.8608
0,3.400000000000002,4,10000,0.8449,0.9218,0.927,0.9277
0,3.400000000000002,6,10000,0.9412,0.9829,0.9848,0.9851
0,3.500000000000002,1,10000,0.3908,0.5027,0.5119,0.5125
0,3.500000000000002,2,10000,0.6307,0.7289,0.7425,0.7435
0,3.500000000000002,3,10000,0.7793,0.8593,0.8716,0.8726
0,3.500000000000002,4,10000,0.8638,0.9301,0.9341,0.9347
0,3.500000000000002,6,10000,0.9485,0.9844,0.9865,0.9865
0,3.6000000000000023,1,10000,0.4094,0.5177,0.5277,0.5283
0,3.6000000000000023,2,10000,0.6497,0.7366,0.7506,0.7515
