mean,sd,N,n_qc,1-3s,1-3s/2-2s/R-4s,1-3s/2-2s/R-4s/4-1s,1-3s/2-2s/R-4s/4-1s/10-x
1.7000000000000002,1,1,10000,0.0935,0.1741,0.2604,0.3158
1.7000000000000002,1,2,10000,0.1817,0.3273,0.48,0.5567
1.7000000000000002,1,3,10000,0.2608,0.4792,0.653,0.7204
1.7000000000000002,1,4,10000,0.3276,0.6064,0.7063,0.7831
1.7000000000000002,1,6,10000,0.4494,0.7907,0.9299,0.9597
1.8,1,1,10000,0.1143,0.2071,0.3035,0.3608
1.8,1,2,10000,0.2174,0.3868,0.5417,0.6146
1.8,1,3,10000,0.3105,0.5473,0.7168,0.7729
1.8,1,4,10000,0.3942,0.6803,0.7746,0.8404
1.8,1,6,10000,0.5278,0.8516,0.9578,0.9764
1.9000000000000001,1,1,10000,0.1344,0.2371,0.3331,0.3883
1.9000000000000001,1,2,10000,0.2496,0.4266,0.572,0.645
1.9000000000000001,1,3,10000,0.3529,0.5885,0.7425,0.7956
1.9000000000000001,1,4,10000,0.4425,0.7246,0.8054,0.8625
1.9000000000000001,1,6,10000,0.5795,0.8886,0.9735,0.9871
2.0,1,1,10000,0.1585,0.2726,0.3742,0.4312
2.0,1,2,10000,0.293,0.48,0.628,0.6874
2.0,1,3,10000,0.4043,0.6462,0.7851,0.8291
2.0,1,4,10000,0.4988,0.7778,0.8513,0.8985
2.0,1,6,10000,0.6406,0.9198,0.9863,0.9928
2.1,1,1,10000,0.1873,0.3103,0.4126,0.4662
2.1,1,2,10000,0.3345,0.5273,0.6721,0.7324
2.1,1,3,10000,0.4596,0.7,0.8249,0.8678
2.1,1,4,10000,0.5627,0.824,0.8867,0.9227
2.1,1,6,10000,0.7062,0.9467,0.9906,0.9943
2.2,1,1,10000,0.2091,0.3449,0.4501,0.5013
2.2,1,2,10000,0.3731,0.5778,0.7189,0.7714
2.2,1,3,10000,0.5054,0.7508,0.8547,0.8864
2.2,1,4,10000,0.6139,0.8643,0.9167,0.9421
2.2,1,6,10000,0.7586,0.9679,0.9951,0.9975
2.3000000000000003,1,1,10000,0.2364,0.3826,0.4885,0.5365
2.3000000000000003,1,2,10000,0.4152,0.6157,0.7475,0.792
2.3000000000000003,1,3,10000,0.5578,0.7881,0.8808,0.9066
2.3000000000000003,1,4,10000,0.6601,0.8915,0.9366,0.9579
2.3000000000000003,1,6,10000,0.8044,0.9767,0.9971,0.9983
2.4000000000000004,1,1,10000,0.2825,0.4349,0.5313,0.5743
2.4000000000000004,1,2,10000,0.4808,0.672,0.7906,0.8264
